epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.101,1.87115,2.06619,1.3762,0.53099,0.53319,0.51362,0.18095,1.86273,1.89527,1.27851,0.00030009,0.00030009,0.00030009
2,26.3815,1.63913,1.11998,1.21677,0.61468,0.67458,0.61765,0.33794,1.3173,1.10388,1.07278,0.000594192,0.000594192,0.000594192
3,36.4985,1.49569,0.92571,1.15055,0.7938,0.85016,0.88416,0.43433,1.40318,0.71799,1.14132,0.000867546,0.000867546,0.000867546
4,44.3456,1.53876,0.88162,1.16529,0.84425,0.77407,0.88339,0.43645,1.43802,0.72839,1.12198,0.00112015,0.00112015,0.00112015
5,54.1572,1.52498,0.85993,1.19315,0.88125,0.82908,0.8501,0.44551,1.29936,0.69996,1.13383,0.00124037,0.00124037,0.00124037
6,62.6697,1.48132,0.83502,1.15583,0.86044,0.8136,0.86665,0.50487,1.24297,0.67496,1.08014,0.00119322,0.00119322,0.00119322
7,71.9105,1.46553,0.7832,1.15188,0.78792,0.85248,0.84637,0.48737,1.30085,0.68015,1.09683,0.00114606,0.00114606,0.00114606
8,80.9279,1.43045,0.75264,1.12831,0.88243,0.8758,0.89868,0.4986,1.23222,0.65611,1.07002,0.0010989,0.0010989,0.0010989
9,89.6369,1.42037,0.73753,1.11506,0.79886,0.87753,0.89629,0.50097,1.19846,0.63079,1.06621,0.00105174,0.00105174,0.00105174
10,99.3638,1.41649,0.74861,1.12119,0.87393,0.91229,0.89126,0.4812,1.21279,0.58499,1.06647,0.00100459,0.00100459,0.00100459
11,107.467,1.40571,0.72125,1.10744,0.88473,0.90232,0.94254,0.54699,1.19187,0.57099,1.05711,0.00095743,0.00095743,0.00095743
12,117.561,1.37984,0.71262,1.10162,0.89088,0.92406,0.94977,0.53236,1.20189,0.55271,1.04974,0.000910273,0.000910273,0.000910273
13,125.429,1.36816,0.68274,1.102,0.89153,0.93752,0.94458,0.47964,1.2677,0.57681,1.06432,0.000863116,0.000863116,0.000863116
14,135.721,1.35881,0.68621,1.1075,0.80062,0.89455,0.90257,0.51792,1.23461,0.55059,1.06316,0.000815959,0.000815959,0.000815959
15,143.496,1.35186,0.66988,1.07794,0.85857,0.93212,0.94325,0.55492,1.23487,0.53601,1.04253,0.000768802,0.000768802,0.000768802
16,153.599,1.2976,0.64704,1.07317,0.91965,0.88644,0.93403,0.54733,1.21578,0.54183,1.04263,0.000721645,0.000721645,0.000721645
17,161.458,1.33311,0.64694,1.06731,0.89701,0.91131,0.93165,0.52337,1.21054,0.52191,1.04067,0.000674488,0.000674488,0.000674488
18,171.195,1.32537,0.64656,1.07722,0.91052,0.8897,0.95788,0.5867,1.19283,0.50481,1.05305,0.000627331,0.000627331,0.000627331
19,179.8,1.31471,0.64488,1.07293,0.93302,0.88424,0.96333,0.57085,1.16285,0.49538,1.0313,0.000580174,0.000580174,0.000580174
20,188.832,1.31805,0.6406,1.07494,0.93292,0.89518,0.9376,0.54959,1.23163,0.51307,1.05786,0.000533017,0.000533017,0.000533017
21,199.973,1.29072,0.61223,1.10072,0.9586,0.86935,0.93622,0.54944,1.20879,0.49603,1.03714,0.00048586,0.00048586,0.00048586
22,208.017,1.26725,0.59935,1.10304,0.96549,0.89188,0.94811,0.56713,1.14631,0.49943,1.02785,0.000438703,0.000438703,0.000438703
23,217.794,1.23012,0.59385,1.08918,0.94649,0.89584,0.94562,0.56935,1.11912,0.4911,1.0327,0.000391546,0.000391546,0.000391546
24,225.619,1.24921,0.58384,1.09842,0.96483,0.90458,0.94779,0.56752,1.21388,0.48787,1.03306,0.000344389,0.000344389,0.000344389
25,235.635,1.2387,0.58016,1.07701,0.95408,0.89353,0.9485,0.57027,1.15079,0.48613,1.02032,0.000297232,0.000297232,0.000297232
26,243.518,1.19627,0.5672,1.06616,0.94791,0.89697,0.96399,0.56461,1.1721,0.48624,1.03042,0.000250075,0.000250075,0.000250075
27,253.561,1.1597,0.54277,1.05268,0.95581,0.91583,0.96726,0.56107,1.12416,0.46553,1.01666,0.000202918,0.000202918,0.000202918
28,261.242,1.15733,0.53446,1.05799,0.92006,0.94391,0.95703,0.57966,1.10693,0.47353,1.00976,0.000155761,0.000155761,0.000155761
29,271.044,1.15884,0.54083,1.058,0.92225,0.95355,0.97113,0.58661,1.12215,0.46557,1.01077,0.000108604,0.000108604,0.000108604
30,278.796,1.13648,0.52228,1.04832,0.96157,0.91892,0.96063,0.59108,1.14881,0.4501,1.01644,6.1447e-05,6.1447e-05,6.1447e-05
